,title,country,clean_description,listed_in_clean,cast_clean,combined
18,intrusion,,deadly home invasion couple new dream house wife real danger beginning,thrillers,freida pinto logan marshall-green robert john burke megan elisabeth kelly sarah minnich hayes hargrove mark sivertsen brandon fierro antonio valles clint obenchain,deadly home invasion couple new dream house wife real danger beginning thrillers freida pinto logan marshall-green robert john burke megan elisabeth kelly sarah minnich hayes hargrove mark sivertsen brandon fierro antonio valles clint obenchain
19,jaguar,,holocaust survivor group seek justice hide,international shows spanish-language shows action adventure,blanca suárez iván marcos óscar casas adrián lastra francesc garrido stefan weinert julia möller alicia chojnowski,holocaust survivor group seek justice hide international shows spanish-language shows action adventure blanca suárez iván marcos óscar casas adrián lastra francesc garrido stefan weinert julia möller alicia chojnowski
20,monsters inside: the 24 faces of billy milligan,,late accused serial rapist multiple control behavior setting legal,crime shows docuseries international shows,nan,late accused serial rapist multiple control behavior setting legal crime shows docuseries international shows nan
21,resurrection: ertugrul,Turkey,good deed unwittingly clan warrior fight sultan exchange new tribal land,international shows action adventure dramas,engin altan düzyatan serdar gökhan hülya darcan kaan taşaner esra bilgiç osman soykut serdar deniz cengiz coşkun reshad strik hande subaşı,good deed unwittingly clan warrior fight sultan exchange new tribal land international shows action adventure dramas engin altan düzyatan serdar gökhan hülya darcan kaan taşaner esra bilgiç osman soykut serdar deniz cengiz coşkun reshad strik hande subaşı
22,avvai shanmughi,,newly visitation daughter doting father nanny order spend time,comedies international movies,kamal hassan meena gemini ganesan heera rajgopal nassar s.p balasubrahmanyam,newly visitation daughter doting father nanny order spend time comedies international movies kamal hassan meena gemini ganesan heera rajgopal nassar s.p balasubrahmanyam
23,go! go! cory carson: chrissy takes the wheel,,arcade sled day hiccup curious little sister fun adventure town,children family movies,maisie benson paul killam kerry gudjohnsen ac lim,arcade sled day hiccup curious little sister fun adventure town children family movies maisie benson paul killam kerry gudjohnsen ac lim
24,jeans,India,father man twin son marry twin woman alter ego might bit convincing,comedies international movies romantic movies,prashanth aishwarya rai bachchan sri lakshmi nassar,father man twin son marry twin woman alter ego might bit convincing comedies international movies romantic movies prashanth aishwarya rai bachchan sri lakshmi nassar
25,love on the spectrum,Australia,finding love hard anyone young autism spectrum exploring unpredictable world dating even complicated,docuseries international shows reality,brooke satchwell,finding love hard anyone young autism spectrum exploring unpredictable world dating even complicated docuseries international shows reality brooke satchwell
26,minsara kanavu,,love triangle man woman become nun friend help pursue,comedies international movies music musicals,arvind swamy kajol prabhu deva nassar s.p balasubrahmanyam girish karnad,love triangle man woman become nun friend help pursue comedies international movies music musicals arvind swamy kajol prabhu deva nassar s.p balasubrahmanyam girish karnad
27,grown ups,United States,mourning loss beloved junior high basketball coach five reunite lake house rediscover,comedies,adam sandler kevin james chris rock david spade rob schneider salma hayek maria bello maya rudolph colin quinn tim meadows joyce van patten,mourning loss beloved junior high basketball coach five reunite lake house rediscover comedies adam sandler kevin james chris rock david spade rob schneider salma hayek maria bello maya rudolph colin quinn tim meadows joyce van patten
28,dark skies,United States,family idyllic suburban life alien force home struggle convince deadly threat,horror movies sci-fi fantasy,keri russell josh hamilton j.k. simmons dakota goyo kadan rockett l.j benet rich hutchman myndy crist annie thurman jake brennan,family idyllic suburban life alien force home struggle convince deadly threat horror movies sci-fi fantasy keri russell josh hamilton j.k. simmons dakota goyo kadan rockett l.j benet rich hutchman myndy crist annie thurman jake brennan
29,paranoia,"United States, India, France",company employee forced spy bos rival former mentor,thrillers,liam hemsworth gary oldman amber heard harrison ford lucas till embeth davidtz julian mcmahon josh holloway richard dreyfuss angela sarafyan,company employee forced spy bos rival former mentor thrillers liam hemsworth gary oldman amber heard harrison ford lucas till embeth davidtz julian mcmahon josh holloway richard dreyfuss angela sarafyan
30,ankahi kahaniya,,big city life around lonely discover surprising connection companionship three tale love loss longing,dramas independent movies international movies,abhishek banerjee rinku rajguru delzad hiwale kunal kapoor zoya hussain nikhil dwivedi palomi ghosh,big city life around lonely discover surprising connection companionship three tale love loss longing dramas independent movies international movies abhishek banerjee rinku rajguru delzad hiwale kunal kapoor zoya hussain nikhil dwivedi palomi ghosh
31,chicago party aunt,,party aunt troublemaker talent adulthood soft spot nephew,comedies,lauren ash rory o'malley rupaul charles jill talley ike barinholtz jon barinholtz matthew craig bob odenkirk mike hagerty katie rich chris witaske,party aunt troublemaker talent adulthood soft spot nephew comedies lauren ash rory o'malley rupaul charles jill talley ike barinholtz jon barinholtz matthew craig bob odenkirk mike hagerty katie rich chris witaske
32,sex education,United Kingdom,insecure come sex advice thanks therapist rebel school clinic,british shows international shows comedies,asa butterfield gillian anderson ncuti gatwa emma mackey connor swindells kedar williams-stirling alistair petrie,insecure come sex advice thanks therapist rebel school clinic british shows international shows comedies asa butterfield gillian anderson ncuti gatwa emma mackey connor swindells kedar williams-stirling alistair petrie
33,squid game,,accept strange invitation compete inside tempting prize deadly high,international shows dramas thrillers,lee jung-jae park hae-soo wi ha-jun oh young-soo jung ho-yeon heo sung-tae kim joo-ryoung tripathi anupam you seong-joo lee you-mi,accept strange invitation compete inside tempting prize deadly high international shows dramas thrillers lee jung-jae park hae-soo wi ha-jun oh young-soo jung ho-yeon heo sung-tae kim joo-ryoung tripathi anupam you seong-joo lee you-mi
34,tayo and little wizards,,adventure get evil city search magical,kids,dami lee jason lee bommie catherine han jennifer waescher nancy kim,adventure get evil city search magical kids dami lee jason lee bommie catherine han jennifer waescher nancy kim
35,the father who moves mountains,,son go missing snowy hike retired intelligence officer stop nothing risk everything find,dramas international movies thrillers,adrian titieni elena purea judith state valeriu andriuță tudor smoleanu virgil aioanei radu botar petronela grigorescu bogdan nechifor cristian bota,son go missing snowy hike retired intelligence officer stop nothing risk everything find dramas international movies thrillers adrian titieni elena purea judith state valeriu andriuță tudor smoleanu virgil aioanei radu botar petronela grigorescu bogdan nechifor cristian bota
36,the stronghold,,tired grind three get chance bust major drug network blur key informant big ask,action adventure dramas international movies,gilles lellouche karim leklou françois civil adèle exarchopoulos kenza fortas cyril lecomte michaël abiteboul idir azougli vincent darmuzey jean-yves berteloot,tired grind three get chance bust major drug network blur key informant big ask action adventure dramas international movies gilles lellouche karim leklou françois civil adèle exarchopoulos kenza fortas cyril lecomte michaël abiteboul idir azougli vincent darmuzey jean-yves berteloot
37,angry birds,Finland,red chuck feathered lot guarding nest pesky keep trying steal,kids comedies,antti pääkkönen heljä heikkinen lynne guaglione pasi ruohonen rauno ahonen,red chuck feathered lot guarding nest pesky keep trying steal kids comedies antti pääkkönen heljä heikkinen lynne guaglione pasi ruohonen rauno ahonen
38,birth of the dragon,"China, Canada, United States",young lee kung fu teaching leading showdown master film based real,action adventure dramas,billy magnussen ron yuan qu jingjing terry chen vanness wu jin xing philip ng xia yu yu xia,young lee kung fu teaching leading showdown master film based real action adventure dramas billy magnussen ron yuan qu jingjing terry chen vanness wu jin xing philip ng xia yu yu xia
39,chhota bheem,India,brave energetic little boy superhuman exciting guard fellow evil,kids,vatsal dubey julie tejwani rupa bhimani jigna bhardwaj rajesh kava mousam swapnil,brave energetic little boy superhuman exciting guard fellow evil kids vatsal dubey julie tejwani rupa bhimani jigna bhardwaj rajesh kava mousam swapnil
40,he-man and the masters of the universe,United States,mighty teen heroic squad discover legendary power destiny defend sinister,kids sci-fi fantasy,yuri lowenthal kimberly brooks antony del rio trevor devall ben diskin grey griffin david kaye tom kenny judy alice lee roger craig smith fred tatasciore,mighty teen heroic squad discover legendary power destiny defend sinister kids sci-fi fantasy yuri lowenthal kimberly brooks antony del rio trevor devall ben diskin grey griffin david kaye tom kenny judy alice lee roger craig smith fred tatasciore
41,jaws,United States,insatiable great white shark amity island police chief oceanographer grizzled shark seek destroy beast,action adventure classic movies dramas,roy scheider robert shaw richard dreyfuss lorraine gary murray hamilton carl gottlieb jeffrey kramer susan backlinie jonathan filley ted grossman,insatiable great white shark amity island police chief oceanographer grizzled shark seek destroy beast action adventure classic movies dramas roy scheider robert shaw richard dreyfuss lorraine gary murray hamilton carl gottlieb jeffrey kramer susan backlinie jonathan filley ted grossman
42,jaws 2,United States,four last deadly shark police chief martin protect amity island another killer great white,dramas horror movies thrillers,roy scheider lorraine gary murray hamilton joseph mascolo jeffrey kramer collin wilcox paxton ann dusenberry mark gruner barry coe susan french,four last deadly shark police chief martin protect amity island another killer great white dramas horror movies thrillers roy scheider lorraine gary murray hamilton joseph mascolo jeffrey kramer collin wilcox paxton ann dusenberry mark gruner barry coe susan french
43,jaws 3,United States,staff marine theme park try capture young great white shark discover mother enclosure blood,action adventure horror movies thrillers,dennis quaid bess armstrong simon maccorkindale louis gossett jr. john putch lea thompson p.h moriarty dan blasko liz morris lisa maurer,staff marine theme park try capture young great white shark discover mother enclosure blood action adventure horror movies thrillers dennis quaid bess armstrong simon maccorkindale louis gossett jr. john putch lea thompson p.h moriarty dan blasko liz morris lisa maurer
44,jaws: the revenge,United States,another deadly shark attack enough amity island great white shark,action adventure horror movies thrillers,lorraine gary lance guest mario van peebles karen young michael caine judith barsi mitchell anderson lynn whitfield,another deadly shark attack enough amity island great white shark action adventure horror movies thrillers lorraine gary lance guest mario van peebles karen young michael caine judith barsi mitchell anderson lynn whitfield
45,my heroes were cowboys,,robin painful childhood frontier training big screen,documentaries,nan,robin painful childhood frontier training big screen documentaries nan
46,safe house,"South Africa, United States, Japan",young operative must get dangerous criminal agency safe house come attack get securer location,action adventure,denzel washington ryan reynolds vera farmiga brendan gleeson sam shepard rubén blades nora arnezeder robert patrick liam cunningham joel kinnaman,young operative must get dangerous criminal agency safe house come attack get securer location action adventure denzel washington ryan reynolds vera farmiga brendan gleeson sam shepard rubén blades nora arnezeder robert patrick liam cunningham joel kinnaman
47,the smart money woman,,five glamorous strive success juggle love based novel,international shows romantic shows comedies,osas ighodaro ini dima-okojie kemi lala akindoju toni tones ebenezer eno eso okolocha dike patrick diabuah karibi fubara temisan emmanuel timini egbuson,five glamorous strive success juggle love based novel international shows romantic shows comedies osas ighodaro ini dima-okojie kemi lala akindoju toni tones ebenezer eno eso okolocha dike patrick diabuah karibi fubara temisan emmanuel timini egbuson
48,training day,United States,rookie cop one day prove veteran officer crash course mentor questionable brand justice,dramas thrillers,denzel washington ethan hawke scott glenn tom berenger harris yulin raymond j. barry cliff curtis dr. dre snoop dogg macy gray eva mendes,rookie cop one day prove veteran officer crash course mentor questionable brand justice dramas thrillers denzel washington ethan hawke scott glenn tom berenger harris yulin raymond j. barry cliff curtis dr. dre snoop dogg macy gray eva mendes
49,castle and castle,Nigeria,pair successful find opposite justice system causing strain happy marriage,international shows dramas,richard mofe-damijo dakore akande bimbo manuel blossom chukwujekwu deyemi okanlawon etim effiong denola grey duke akintola eku edewor ade laoye anee icha kevin ushi jude chukwuka amanda afolabi,pair successful find opposite justice system causing strain happy marriage international shows dramas richard mofe-damijo dakore akande bimbo manuel blossom chukwujekwu deyemi okanlawon etim effiong denola grey duke akintola eku edewor ade laoye anee icha kevin ushi jude chukwuka amanda afolabi
50,dharmakshetra,India,ancient great war god trial determine battle true,international shows dramas sci-fi fantasy,kashmira irani chandan anand dinesh mehta ankit arora pushkar goggiaa anjali rana aarya dharmchand kumar amit behl maleeka ghai,ancient great war god trial determine battle true international shows dramas sci-fi fantasy kashmira irani chandan anand dinesh mehta ankit arora pushkar goggiaa anjali rana aarya dharmchand kumar amit behl maleeka ghai
51,inuyasha the movie 2: the castle beyond the looking glass,Japan,biggest foe seemingly return everyday life peace soon new enemy,action adventure anime features international movies,kappei yamaguchi satsuki yukino mieko harada koji tsujitani houko kuwashima kumiko watanabe noriko hidaka kenichi ogata toshiyuki morikawa izumi ogami,biggest foe seemingly return everyday life peace soon new enemy action adventure anime features international movies kappei yamaguchi satsuki yukino mieko harada koji tsujitani houko kuwashima kumiko watanabe noriko hidaka kenichi ogata toshiyuki morikawa izumi ogami
52,inuyasha the movie 3: swords of an honorable ruler,Japan,great dog demon one three fang two son evil power third sword,action adventure anime features international movies,kappei yamaguchi satsuki yukino koji tsujitani houko kuwashima kumiko watanabe ken narita akio otsuka kikuko inoue,great dog demon one three fang two son evil power third sword action adventure anime features international movies kappei yamaguchi satsuki yukino koji tsujitani houko kuwashima kumiko watanabe ken narita akio otsuka kikuko inoue
53,inuyasha the movie 4: fire on the mystic island,Japan,ai young island try help people potential,action adventure anime features international movies,kappei yamaguchi satsuki yukino koji tsujitani houko kuwashima kumiko watanabe noriko hidaka ken narita cho mamiko noto nobutoshi canna,ai young island try help people potential action adventure anime features international movies kappei yamaguchi satsuki yukino koji tsujitani houko kuwashima kumiko watanabe noriko hidaka ken narita cho mamiko noto nobutoshi canna
54,inuyasha the movie: affections touching across time,Japan,powerful demon sealed away demon son fate world jeopardy,action adventure anime features international movies,kappei yamaguchi satsuki yukino koji tsujitani houko kuwashima kumiko watanabe kenichi ogata noriko hidaka hisako kyoda ken narita tomokazu seki,powerful demon sealed away demon son fate world jeopardy action adventure anime features international movies kappei yamaguchi satsuki yukino koji tsujitani houko kuwashima kumiko watanabe kenichi ogata noriko hidaka hisako kyoda ken narita tomokazu seki
55,nailed it,United States,home terrible track record take crack edible prize part reality contest part hot mess,reality,nicole byer jacques torres,home terrible track record take crack edible prize part reality contest part hot mess reality nicole byer jacques torres
56,naruto shippuden the movie: blood prison,Japan,mistakenly accused attack fourth impenetrable castle sealed,action adventure anime features international movies,junko takeuchi chie nakamura rikiya koyama kazuhiko inoue masaki terasoma mie sonozaki yuichi nakamura kengo kawanishi kosei hirota masako katsuki,mistakenly accused attack fourth impenetrable castle sealed action adventure anime features international movies junko takeuchi chie nakamura rikiya koyama kazuhiko inoue masaki terasoma mie sonozaki yuichi nakamura kengo kawanishi kosei hirota masako katsuki
57,naruto shippûden the movie: bonds,Japan,strange ambush village adolescent pal save planet,action adventure anime features international movies,junko takeuchi chie nakamura noriaki sugiyama unsho ishizuka motoko kumai kazuhiko inoue rikiya koyama showtaro morikubo nana mizuki satoshi hino shinji kawada,strange ambush village adolescent pal save planet action adventure anime features international movies junko takeuchi chie nakamura noriaki sugiyama unsho ishizuka motoko kumai kazuhiko inoue rikiya koyama showtaro morikubo nana mizuki satoshi hino shinji kawada
58,naruto shippûden the movie: the will of fire,Japan,four five leader one find true culprit protect land,action adventure anime features international movies,junko takeuchi chie nakamura kazuhiko inoue satoshi hino showtaro morikubo kentaro ito ryoka yuzuki kohsuke toriumi nana mizuki shinji kawada yoichi masukawa koichi tochika yukari tamura,four five leader one find true culprit protect land action adventure anime features international movies junko takeuchi chie nakamura kazuhiko inoue satoshi hino showtaro morikubo kentaro ito ryoka yuzuki kohsuke toriumi nana mizuki shinji kawada yoichi masukawa koichi tochika yukari tamura
59,naruto shippuden: the movie,Japan,adolescent continue protecting priestess demon must die,action adventure anime features international movies,junko takeuchi chie nakamura yoichi masukawa koichi tochika ayumi fujimura keisuke oda daisuke kishio fumiko orikasa hidetoshi nakamura tetsuya kakihara kisho taniyama miyuki sawashiro katsuyuki konishi masako katsuki keiko nemoto masashi ebara kazuhiko inoue showtaro morikubo romi park daisuke ono seizo kato,adolescent continue protecting priestess demon must die action adventure anime features international movies junko takeuchi chie nakamura yoichi masukawa koichi tochika ayumi fujimura keisuke oda daisuke kishio fumiko orikasa hidetoshi nakamura tetsuya kakihara kisho taniyama miyuki sawashiro katsuyuki konishi masako katsuki keiko nemoto masashi ebara kazuhiko inoue showtaro morikubo romi park daisuke ono seizo kato
60,naruto shippuden: the movie: the lost tower,Japan,sent recover missing rogue send past father battle evil,action adventure anime features international movies,junko takeuchi chie nakamura satoshi hino rikiya koyama nobuaki fukuda kenji hamada keiko nemoto saori hayami yumi toma yuko kobayashi fujiko takimoto mutsumi tamura mayuki makiguchi toshiyuki morikawa,sent recover missing rogue send past father battle evil action adventure anime features international movies junko takeuchi chie nakamura satoshi hino rikiya koyama nobuaki fukuda kenji hamada keiko nemoto saori hayami yumi toma yuko kobayashi fujiko takimoto mutsumi tamura mayuki makiguchi toshiyuki morikawa
61,naruto the movie 2: legend of the stone of gelel,Japan,mission return missing pet two fellow brutal led enigmatic,action adventure anime features international movies,junko takeuchi gamon kaai chie nakamura showtaro morikubo akira ishida yasuyuki kase urara takano sachiko kojima houko kuwashima takako honda,mission return missing pet two fellow brutal led enigmatic action adventure anime features international movies junko takeuchi gamon kaai chie nakamura showtaro morikubo akira ishida yasuyuki kase urara takano sachiko kojima houko kuwashima takako honda
62,naruto the movie 3: guardians of the crescent moon kingdom,Japan,exuberant escort prince son crescent moon kingdom,action adventure anime features international movies,junko takeuchi chie nakamura yoichi masukawa kazuhiko inoue akio otsuka kyousuke ikeda marika hayashi umeji sasaki masashi sugawara hisao egawa,exuberant escort prince son crescent moon kingdom action adventure anime features international movies junko takeuchi chie nakamura yoichi masukawa kazuhiko inoue akio otsuka kyousuke ikeda marika hayashi umeji sasaki masashi sugawara hisao egawa
63,naruto the movie: ninja clash in the land of snow,Japan,learn protecting actress hurt making next film turn princess,action adventure anime features international movies,junko takeuchi noriaki sugiyama chie nakamura kazuhiko inoue yuhko kaida tsutomu isobe hirotaka suzuoki jun karasawa harii kaneko ikuo nishikawa,learn protecting actress hurt making next film turn princess action adventure anime features international movies junko takeuchi noriaki sugiyama chie nakamura kazuhiko inoue yuhko kaida tsutomu isobe hirotaka suzuoki jun karasawa harii kaneko ikuo nishikawa
64,nightbooks,,scary story fan must tell tale every night stay trapped new friend wicked witch magical apartment forever,children family movies,winslow fegley lidya jewett krysten ritter,scary story fan must tell tale every night stay trapped new friend wicked witch magical apartment forever children family movies winslow fegley lidya jewett krysten ritter
65,numberblocks,United Kingdom,place math fun group cheerful work play sing together,kids,beth chalmers david holt marcel mccalla teresa gallagher,place math fun group cheerful work play sing together kids beth chalmers david holt marcel mccalla teresa gallagher
66,raja rasoi aur anya kahaniyan,India,explore history regional cuisine traditional vegetarian,docuseries international shows,nan,explore history regional cuisine traditional vegetarian docuseries international shows nan
67,saved by the bell,United States,middle school college best kelly slater screech take life together hit series,kids comedies,mark-paul gosselaar tiffani thiessen mario lopez lark voorhies elizabeth berkley dustin diamond dennis haskins,middle school college best kelly slater screech take life together hit series kids comedies mark-paul gosselaar tiffani thiessen mario lopez lark voorhies elizabeth berkley dustin diamond dennis haskins
68,schumacher,,exclusive archival footage documentary intimate portrait formula champion,documentaries international movies sports movies,michael schumacher,exclusive archival footage documentary intimate portrait formula champion documentaries international movies sports movies michael schumacher
69,stories by rabindranath tagore,India,prize winner come life collection tale set,international shows dramas,nan,prize winner come life collection tale set international shows dramas nan
70,too hot to handle: latino,,reality show single give sex abstinence come silver lining u,international shows reality romantic shows,itatí cantoral,reality show single give sex abstinence come silver lining u international shows reality romantic shows itatí cantoral
71,a storybots space adventure,,join space historic inspiration mission search space,children family movies,evan spiridellis erin fitzgerald jeff gill fred tatasciore evan michael lee jared isaacman sian proctor chris sembroski hayley arceneaux,join space historic inspiration mission search space children family movies evan spiridellis erin fitzgerald jeff gill fred tatasciore evan michael lee jared isaacman sian proctor chris sembroski hayley arceneaux
72,jack whitehall: travels with my father,United Kingdom,jovial comic jack stuffy father travel southeast attempt strengthen bond,british shows docuseries international shows,jack whitehall michael whitehall,jovial comic jack stuffy father travel southeast attempt strengthen bond british shows docuseries international shows jack whitehall michael whitehall
73,king of boys,Nigeria,powerful businesswoman political underworld power struggle could cost everything,dramas international movies,sola sobowale adesua etomi remilekun `` reminisce '' safaru tobechukwu `` illbliss '' ejiofor toni tones paul sambo jide kosoko sharon ooja,powerful businesswoman political underworld power struggle could cost everything dramas international movies sola sobowale adesua etomi remilekun `` reminisce '' safaru tobechukwu `` illbliss '' ejiofor toni tones paul sambo jide kosoko sharon ooja
74,the world's most amazing vacation rentals,,eye every budget three visit vacation around globe share expert reality series,reality,nan,eye every budget three visit vacation around globe share expert reality series reality nan
75,you vs. wild: out cold,,plane crash leaf bear amnesia must make save missing pilot survive interactive adventure,children family movies,bear grylls jason derek prempeh,plane crash leaf bear amnesia must make save missing pilot survive interactive adventure children family movies bear grylls jason derek prempeh
76,yowamushi pedal,Japan,timid teen drawn school cycling club new help face tough develop racing talent,anime series international shows,daiki yamashita kohsuke toriumi jun fukushima hiroki yasumoto showtaro morikubo kentaro ito daisuke kishio yoshitsugu matsuoka junichi suwabe ayaka suwa megumi han tomoaki maeno tsubasa yonaga tetsuya kakihara satoshi hino hiroyuki yoshino atsushi abe koji yusa kouki miyata hiro shimono wataru hatano yuichi nakamura kenji nojima mamoru miyano daisuke ono yuma uchida jun fukuyama,timid teen drawn school cycling club new help face tough develop racing talent anime series international shows daiki yamashita kohsuke toriumi jun fukushima hiroki yasumoto showtaro morikubo kentaro ito daisuke kishio yoshitsugu matsuoka junichi suwabe ayaka suwa megumi han tomoaki maeno tsubasa yonaga tetsuya kakihara satoshi hino hiroyuki yoshino atsushi abe koji yusa kouki miyata hiro shimono wataru hatano yuichi nakamura kenji nojima mamoru miyano daisuke ono yuma uchida jun fukuyama
